section,filename,function,address,end
init,init_17F10,func_10017F10,0x10017F10,0x10017F80
init,n_csq,n_alCSeqNew,0x10017F80,0x10018100
init,n_csq,n_alCSeqNextEvent,0x10018100,0x100182A8
init,n_csq,__n_alCSeqGetTrackEvent,0x100182A8,0x100186DC
init,n_csq,func_100186DC,0x100186DC,0x10018790
init,n_csq,func_10018790,0x10018790,0x100189D0
init,n_csq,__getTrackByte,0x100189D0,0x10018BC4
init,n_csq,__readVarLen,0x10018BC4,0x10018C60
init,code_18C60,func_10018C60,0x10018C60,0x10018CB0
init,code_18CB0,func_10018CB0,0x10018CB0,0x10018D00
init,init_18D00,func_10018D00,0x10018D00,0x10018D50
init,init_18D50,func_10018D50,0x10018D50,0x10018DA0
init,n_sl,n_alInit,0x10018DA0,0x10018E0C
init,n_sl,n_alClose,0x10018E0C,0x10018E60
init,n_synthesizer,n_alSynNew,0x10018E60,0x10019498
init,n_synthesizer,n_alAudioFrame,0x10019498,0x100196E4
init,n_synthesizer,__n_allocParam,0x100196E4,0x10019744
init,n_synthesizer,_n_freeParam,0x10019744,0x10019770
init,n_synthesizer,_n_collectPVoices,0x10019770,0x100198B0
init,n_synthesizer,_n_freePVoice,0x100198B0,0x10019964
init,n_synthesizer,_n_timeToSamplesNoRound,0x10019964,0x100199C8
init,n_synthesizer,_n_timeToSamples,0x100199C8,0x10019A04
init,n_synthesizer,__n_nextSampleTime,0x10019A04,0x10019AB0
init,cents2ratio,alCents2Ratio,0x10019AB0,0x10019B50
init,init_19B50,func_10019B50,0x10019B50,0x10019C28
init,init_19B50,func_10019C28,0x10019C28,0x10019CD0
init,init_19B50,func_10019CD0,0x10019CD0,0x10019CFC
init,init_19B50,func_10019CFC,0x10019CFC,0x10019D6C
init,init_19B50,func_10019D6C,0x10019D6C,0x10019D98
init,init_19B50,func_10019D98,0x10019D98,0x10019ED8
init,init_19B50,func_10019ED8,0x10019ED8,0x10019F38
init,init_19B50,func_10019F38,0x10019F38,0x10019F98
init,init_19B50,func_10019F98,0x10019F98,0x1001A030
init,init_19B50,func_1001A030,0x1001A030,0x1001A224
init,init_19B50,func_1001A224,0x1001A224,0x1001A2F8
init,init_19B50,func_1001A2F8,0x1001A2F8,0x1001A39C
